dataset,method,tau_q,group,n,under_rate,over_rate,miscoverage,width
CHEMBL233_Ki,mondrian_wstd,0.9,noncliff,587,0.19250425894378195,0.0,0.19250425894378195,2.521679143347435
CHEMBL233_Ki,mondrian_wstd,0.9,all,635,0.2110236220472441,0.0,0.2110236220472441,2.5333759676066343
CHEMBL233_Ki,mondrian_rfstd,0.5,cliff,162,0.37037037037037035,0.024691358024691357,0.3950617283950617,2.5674079996961177
CHEMBL233_Ki,mondrian_rfstd,0.5,noncliff,2984,0.08042895442359249,0.006032171581769437,0.08646112600536193,2.470134485640852
CHEMBL233_Ki,mondrian_rfstd,0.5,all,3146,0.09535918626827718,0.006993006993006993,0.10235219326128417,2.475143484139565
CHEMBL233_Ki,mondrian_rfstd,0.75,cliff,93,0.4946236559139785,0.010752688172043012,0.5053763440860215,2.509742027790912
CHEMBL233_Ki,mondrian_rfstd,0.75,noncliff,1482,0.12753036437246965,0.0006747638326585695,0.1282051282051282,2.546434141505538
CHEMBL233_Ki,mondrian_rfstd,0.75,all,1575,0.1492063492063492,0.0012698412698412698,0.15047619047619049,2.544267559552865
CHEMBL233_Ki,mondrian_rfstd,0.9,cliff,48,0.6458333333333334,0.0,0.6458333333333334,2.379594563530849
CHEMBL233_Ki,mondrian_rfstd,0.9,noncliff,587,0.1788756388415673,0.0,0.1788756388415673,2.570808311696419
CHEMBL233_Ki,mondrian_rfstd,0.9,all,635,0.2141732283464567,0.0,0.2141732283464567,2.556354359079179
CHEMBL233_Ki,mondrian_nb,0.5,cliff,162,0.36419753086419754,0.030864197530864196,0.3950617283950617,2.3396298398713924
CHEMBL233_Ki,mondrian_nb,0.5,noncliff,2984,0.08746648793565684,0.005026809651474531,0.09249329758713137,2.4460503587297495
CHEMBL233_Ki,mondrian_nb,0.5,all,3146,0.101716465352829,0.006357279084551812,0.1080737444373808,2.4405703447262357
CHEMBL233_Ki,mondrian_nb,0.75,cliff,93,0.5376344086021505,0.0,0.5376344086021505,2.320460721518618
CHEMBL233_Ki,mondrian_nb,0.75,noncliff,1482,0.15856950067476383,0.0,0.15856950067476383,2.4558919874349336
CHEMBL233_Ki,mondrian_nb,0.75,all,1575,0.18095238095238095,0.0,0.18095238095238095,2.4478950936379698
CHEMBL233_Ki,mondrian_nb,0.9,cliff,48,0.6458333333333334,0.0,0.6458333333333334,2.28367675009515
CHEMBL233_Ki,mondrian_nb,0.9,noncliff,587,0.2231686541737649,0.0,0.2231686541737649,2.453812206125813
CHEMBL233_Ki,mondrian_nb,0.9,all,635,0.2551181102362205,0.0,0.2551181102362205,2.440951573229007
CHEMBL234_Ki,global,0.5,cliff,110,0.24545454545454545,0.0,0.24545454545454545,2.252151426345651
CHEMBL234_Ki,global,0.5,noncliff,3557,0.07450098397526005,0.003092493674444757,0.07759347764970481,2.252066927890002
CHEMBL234_Ki,global,0.5,all,3667,0.07962912462503409,0.0029997272975184073,0.0826288519225525,2.252069462613242
CHEMBL234_Ki,global,0.75,cliff,62,0.41935483870967744,0.0,0.41935483870967744,2.2447899160744447
CHEMBL234_Ki,global,0.75,noncliff,1782,0.11952861952861953,0.0,0.11952861952861953,2.2514679737246457
CHEMBL234_Ki,global,0.75,all,1844,0.12960954446854664,0.0,0.12960954446854664,2.251243440332936
CHEMBL234_Ki,global,0.9,cliff,33,0.6060606060606061,0.0,0.6060606060606061,2.2297038780216307
CHEMBL234_Ki,global,0.9,noncliff,711,0.19127988748241911,0.0,0.19127988748241911,2.2510410325365613
CHEMBL234_Ki,global,0.9,all,744,0.20967741935483872,0.0,0.20967741935483872,2.2500946264895285
CHEMBL234_Ki,mondrian_wstd,0.5,cliff,110,0.22727272727272727,0.00909090909090909,0.23636363636363636,2.426956382360845
CHEMBL234_Ki,mondrian_wstd,0.5,noncliff,3557,0.07393871239808827,0.004217036828788305,0.07815574922687658,2.1764485000068117
CHEMBL234_Ki,mondrian_wstd,0.5,all,3667,0.07853831469866376,0.00436323970548132,0.08290155440414508,2.1839630533362206
CHEMBL234_Ki,mondrian_wstd,0.75,cliff,62,0.3870967741935484,0.0,0.3870967741935484,2.3732490883605717
CHEMBL234_Ki,mondrian_wstd,0.75,noncliff,1782,0.12457912457912458,0.0005611672278338945,0.1251402918069585,2.1711450021650447
CHEMBL234_Ki,mondrian_wstd,0.75,all,1844,0.1334056399132321,0.0005422993492407809,0.1339479392624729,2.177940258859254
CHEMBL234_Ki,mondrian_wstd,0.9,cliff,33,0.5151515151515151,0.0,0.5151515151515151,2.4248707669957623
