dataset,seed,k,auc_fail,auc_cliffB,misalign,d_cov_cliffB_pp,d_cov_cliffA_pp,cov_cliffB,cov_cliffA,n_cliffB,n_cliffA
CHEMBL233_Ki,89709943,25,0.7127671026427688,0.6150663757046736,0.09770072693809517,-5.5555555555555465,-2.2222222222222143,0.6111111111111112,0.8,18,45
CHEMBL233_Ki,89709943,50,0.724473868345982,0.5904255319148937,0.13404833643108838,5.555555555555558,0.0,0.7222222222222222,0.8222222222222222,18,45
CHEMBL233_Ki,89709943,100,0.7320092577641423,0.6049736315693762,0.12703562619476605,-5.5555555555555465,-13.33333333333333,0.6111111111111112,0.6888888888888889,18,45
CHEMBL233_Ki,89709943,200,0.7299370256741482,0.5973358792507729,0.13260114642337528,0.0,-2.2222222222222143,0.6666666666666666,0.8,18,45
CHEMBL233_Ki,86921808,2,0.571403832833064,0.4288482834994463,0.14255554933361764,-7.4074074074074066,-5.999999999999995,0.7777777777777778,0.8,27,50
CHEMBL233_Ki,86921808,5,0.6272079196490418,0.48348098929494276,0.143726930354099,-7.4074074074074066,-4.0000000000000036,0.7777777777777778,0.82,27,50
CHEMBL233_Ki,86921808,10,0.6538616947587162,0.5996370124277101,0.05422468233100619,-7.4074074074074066,-7.9999999999999964,0.7777777777777778,0.78,27,50
CHEMBL233_Ki,86921808,25,0.6773695451396906,0.5688138304417374,0.10855571469795322,-3.703703703703709,-7.9999999999999964,0.8148148148148148,0.78,27,50
CHEMBL233_Ki,86921808,50,0.7146299930731933,0.5792112710717362,0.1354187220014571,-11.111111111111116,-9.999999999999998,0.7407407407407407,0.76,27,50
CHEMBL233_Ki,86921808,100,0.7029121450011545,0.5713978097699028,0.13151433523125167,-11.111111111111116,-12.0,0.7407407407407407,0.74,27,50
CHEMBL233_Ki,86921808,200,0.7060003463403371,0.560077519379845,0.1459228269604922,-11.111111111111116,-7.9999999999999964,0.7407407407407407,0.78,27,50
CHEMBL233_Ki,89165191,2,0.5869049281027502,0.4489166307935141,0.13798829730923606,0.0,0.0,0.6086956521739131,0.723404255319149,23,47
CHEMBL233_Ki,89165191,5,0.7112941504956024,0.5146003730807863,0.19669377741481608,0.0,-2.127659574468088,0.6086956521739131,0.7021276595744681,23,47
CHEMBL233_Ki,89165191,10,0.6639443436176649,0.4999641268474674,0.16398021677019747,0.0,-2.127659574468088,0.6086956521739131,0.7021276595744681,23,47
CHEMBL233_Ki,89165191,25,0.7633673042021499,0.5064930406084087,0.2568742635937412,-4.34782608695653,-4.255319148936176,0.5652173913043478,0.6808510638297872,23,47
CHEMBL233_Ki,89165191,50,0.7536995672204384,0.5288061414837136,0.22489342573672477,0.0,-4.255319148936176,0.6086956521739131,0.6808510638297872,23,47
CHEMBL233_Ki,89165191,100,0.7570152170878124,0.5131654469794805,0.24384977010833186,8.695652173913038,2.127659574468077,0.6956521739130435,0.7446808510638298,23,47
