dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL234_Ki,99182118,cliffB_oracle,noncliff,707,0.6464121706155648,0.5843443909964924,0.5889513345944141,19.656294200848656,0.7718685178716232,0.5817044802602146
CHEMBL234_Ki,99182118,cliffA,cliff,41,0.6639113629813704,0.7371034037611556,0.7447106851520583,25.878048780487806,0.8803340496819272,1.2381175636864508
CHEMBL234_Ki,99182118,cliffA,noncliff,691,0.6465728922698211,0.5825813909786968,0.5871264251416204,19.583212735166427,0.7703431235406581,0.5699495655051684
CHEMBL234_Ki,89709943,cliffB_oracle,cliff,24,0.7154726209380726,0.9217624132490897,0.9219730694117612,26.333333333333332,0.9103669887801416,1.2800168554536098
CHEMBL234_Ki,89709943,cliffB_oracle,noncliff,708,0.6244432098098267,0.572775111922517,0.5780763238178905,18.785310734463277,0.7643105340074645,0.5642401265489513
CHEMBL234_Ki,89709943,cliffA,cliff,47,0.6713097713431089,0.8057614945023015,0.810817831074388,23.06382978723404,0.8696707002482205,1.163445547363149
CHEMBL234_Ki,89709943,cliffA,noncliff,685,0.6244168995543722,0.568739587236918,0.5738673442774478,18.756204379562043,0.7620431783667573,0.5482050706590892
CHEMBL234_Ki,86921808,cliffB_oracle,cliff,25,0.7437205975428973,0.8213886114419455,0.818381180255516,25.0,0.892706689492661,1.3967935353338208
CHEMBL234_Ki,86921808,cliffB_oracle,noncliff,707,0.6463326678878176,0.5697188637381287,0.5753118227355388,18.974540311173975,0.763422118171897,0.5142972241204663
CHEMBL234_Ki,86921808,cliffA,cliff,55,0.6984572611704608,0.8013102046229585,0.808629428849548,24.527272727272727,0.8720510620931076,1.1807754731141744
CHEMBL234_Ki,86921808,cliffA,noncliff,677,0.6456943305330637,0.5596315710056244,0.5647394684346451,18.745937961595274,0.7591302908907585,0.4927405093282653
