dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
BBBP,20308437,aps,395,2,1.0,1.0,1.0,2.0,2.0,2.0,0.52,0.6310679611650486,0.976027397260274
BBBP,20308437,mondrian_predclass,395,2,0.8860759493670886,0.5,0.8880407124681934,1.0126582278481013,1.0,1.0127226463104326,0.52,,
BBBP,20308437,mondrian_nnsim,395,2,0.8759493670886076,0.5,0.8778625954198473,0.9924050632911392,1.0,0.9923664122137404,0.52,,
BBBP,20316356,global,395,1,0.9012658227848102,0.0,0.9035532994923858,1.0556962025316456,1.0,1.0558375634517767,0.595,,
BBBP,20316356,aps,395,1,1.0,1.0,1.0,2.0,2.0,2.0,0.595,0.6111111111111112,0.9868852459016394
BBBP,20316356,mondrian_predclass,395,1,0.9012658227848102,0.0,0.9035532994923858,1.0556962025316456,1.0,1.0558375634517767,0.595,,
BBBP,20316356,mondrian_nnsim,395,1,0.9012658227848102,0.0,0.9035532994923858,1.0556962025316456,1.0,1.0558375634517767,0.595,,
BBBP,20324275,global,395,3,0.8759493670886076,1.0,0.875,0.9924050632911392,1.0,0.9923469387755102,0.485,,
BBBP,20324275,aps,395,3,1.0,1.0,1.0,2.0,2.0,2.0,0.485,0.6,0.9694915254237289
BBBP,20324275,mondrian_predclass,395,3,0.8759493670886076,1.0,0.875,0.9924050632911392,1.0,0.9923469387755102,0.485,,
BBBP,20324275,mondrian_nnsim,395,3,0.8759493670886076,1.0,0.875,0.9924050632911392,1.0,0.9923469387755102,0.485,,
BBBP,20332194,global,395,3,0.8556962025316456,0.0,0.8622448979591837,0.9468354430379747,0.6666666666666666,0.9489795918367347,0.42500000000000004,,
BBBP,20332194,aps,395,3,1.0,1.0,1.0,2.0,2.0,2.0,0.42500000000000004,0.5108695652173914,0.9603960396039604
BBBP,20332194,mondrian_predclass,395,3,0.8556962025316456,0.0,0.8622448979591837,0.9468354430379747,0.6666666666666666,0.9489795918367347,0.42500000000000004,,
BBBP,20332194,mondrian_nnsim,395,3,0.8784810126582279,0.0,0.8852040816326531,0.9848101265822785,0.6666666666666666,0.9872448979591837,0.42500000000000004,,
BACE,20260923,global,302,20,0.9470198675496688,0.7,0.9645390070921985,1.2980132450331126,1.65,1.2730496453900708,0.72,,
BACE,20260923,aps,302,20,1.0,1.0,1.0,1.990066225165563,2.0,1.9893617021276595,0.72,0.9444444444444444,0.95
BACE,20260923,mondrian_predclass,302,20,0.9470198675496688,0.7,0.9645390070921985,1.2980132450331126,1.65,1.2730496453900708,0.72,,
BACE,20260923,mondrian_nnsim,302,20,0.9503311258278145,0.7,0.9680851063829787,1.304635761589404,1.65,1.2801418439716312,0.72,,
BACE,20268842,global,302,15,0.9470198675496688,0.7333333333333333,0.9581881533101045,1.3609271523178808,1.4666666666666666,1.3554006968641115,0.76,,
BACE,20268842,aps,302,15,1.0,1.0,1.0,1.9933774834437086,2.0,1.9930313588850175,0.76,0.9583333333333334,0.9328358208955224
BACE,20268842,mondrian_predclass,302,15,0.9470198675496688,0.7333333333333333,0.9581881533101045,1.3609271523178808,1.4666666666666666,1.3554006968641115,0.76,,
BACE,20268842,mondrian_nnsim,302,15,0.9536423841059603,0.7333333333333333,0.9651567944250871,1.3841059602649006,1.4666666666666666,1.3797909407665505,0.76,,
BACE,20276761,global,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2549668874172186,1.4090909090909092,1.2428571428571429,0.6933333333333334,,
BACE,20276761,aps,302,22,0.9966887417218543,1.0,0.9964285714285714,1.9933774834437086,1.9545454545454546,1.9964285714285714,0.6933333333333334,0.9239766081871345,0.9618320610687023
BACE,20276761,mondrian_predclass,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2549668874172186,1.4090909090909092,1.2428571428571429,0.6933333333333334,,
BACE,20276761,mondrian_nnsim,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2649006622516556,1.4090909090909092,1.2535714285714286,0.6933333333333334,,
BACE,20284680,global,302,27,0.9205298013245033,0.7037037037037037,0.9418181818181818,1.2483443708609272,1.5555555555555556,1.2181818181818183,0.675,,
